county,site_code,site_name,latitude,longitude,sample_date,chemical_name,concentration_ppb,level_of_quantification_ppb,method_detection_level_ppb,sample_type,study_cd,study_description,study_weblink,data_source,agency,record_id
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2018-09-05,imidacloprid,0.0447,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7134607
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-10-19,imidacloprid,0.0779,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7251186
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-08-17,imidacloprid,0.0108,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7257223
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2012-10-09,imidacloprid,0.0344,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175218
San Luis Obispo,40_47,San Luis Obispo C A Los Osos Vly Rd Nr San Luis Ob,35.24333,-120.68111,2017-03-15,imidacloprid,0.0369,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7139789
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2016-02-18,imidacloprid,0.0677,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7257770
Stanislaus,50_36,Ingram C at River Rd Nr Patterson Ca (near HISLPA)_USGS NAWQA site,37.60057,-121.224,2017-01-09,imidacloprid,0.246,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7260052
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-09-04,imidacloprid,0.0195,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7136947
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2019-06-11,imidacloprid,0.0392,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7140680
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2016-01-07,imidacloprid,0.0703,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7137945
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2017-05-16,imidacloprid,0.0068,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7264401
San Benito,35_6,Tequisquita Slough upstream Pajaro River @ Shore Rd,36.9425,-121.44483,2017-03-23,imidacloprid,0.104,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142602
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2016-10-14,imidacloprid,0.0236,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7256190
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-06-14,imidacloprid,0.0323,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7194968
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2020-02-03,imidacloprid,0.0907,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7161338
San Joaquin,39_95,San Joaquin R at Buckley Cove. CEDEN: 544LSAC13,37.97183,-121.37362,2015-09-23,imidacloprid,0.0097,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7260056
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2015-01-21,imidacloprid,0.0211,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142542
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2019-05-14,imidacloprid,0.0261,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175308
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-04-20,imidacloprid,0.032,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175282
Stanislaus,50_36,Ingram C at River Rd Nr Patterson Ca (near HISLPA)_USGS NAWQA site,37.60057,-121.224,2017-01-09,acetamiprid,0.0091,0.0033,0.0033,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7264214
San Diego,37_387,Rainbow C A Huffstatler St A Rainbow Ca,33.41528,-117.15194,2016-08-07,thiamethoxam,0.228,0.0034,0.0034,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7264570
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-07-16,imidacloprid,0.0186,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7136945
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-12-19,imidacloprid,0.0269,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7136581
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2015-04-07,clothianidin,0.0093,0.0039,0.0039,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7265027
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-05-18,imidacloprid,0.0078,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7263298
Santa Barbara,42_55,Orcutt Solomon Creek at Black Road (312ORBxxx 2007 SWAMP),34.88386,-120.49406,2017-04-04,imidacloprid,0.105,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7135216
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2013-01-16,imidacloprid,0.0456,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175221
Sacramento,34_76,"Alder Creek receiving water at Iron Point Rd., near Buckingham Way(DPR site id: FOL100)",38.64559,-121.14442,2016-04-07,imidacloprid,0.0218,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7256432
San Diego,37_387,Rainbow C A Huffstatler St A Rainbow Ca,33.41528,-117.15194,2016-08-07,imidacloprid,0.0414,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7263669
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2014-11-13,imidacloprid,0.035,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7141702
Santa Barbara,42_126,Santa Ynez R A Solvang Ca,34.58499,-120.14459,2017-04-10,imidacloprid,0.0209,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7134836
Santa Cruz,44_47,Unnamed Trib A Paulsen Rd Nr Freedom Ca,36.955,-121.7453,2017-03-22,imidacloprid,0.123,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175413
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2014-07-16,imidacloprid,0.0141,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142794
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2014-12-16,imidacloprid,0.0988,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7137072
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2018-11-14,imidacloprid,0.0757,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7175303
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2015-03-17,imidacloprid,0.039,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7139148
Santa Cruz,44_26,Pajaro River at Chittenden Gap (305CHIxxx 2006 SWAMP),36.90033,-121.59616,2017-03-23,imidacloprid,0.0322,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7134735
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2016-02-17,imidacloprid,0.0178,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7256601
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2019-03-14,imidacloprid,0.0391,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7250212
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2014-10-16,imidacloprid,0.0252,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7142066
Monterey,27_143,Natividad C Nr Salinas Ca,36.6987,-121.61072,2017-04-12,imidacloprid,0.15,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7149161
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2017-11-07,imidacloprid,0.0747,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7145764
Stanislaus,50_36,Ingram C at River Rd Nr Patterson Ca (near HISLPA)_USGS NAWQA site,37.60057,-121.224,2016-04-28,imidacloprid,0.0176,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7256770
Monterey,27_12,Rec Ditch at San Jon Rd,36.70487,-121.70506,2017-04-03,imidacloprid,0.814,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7134897
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2015-02-12,imidacloprid,0.0308,0.011,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7140613
Sacramento,34_25,Arcade C Nr Del Paso Heights California_USGS NAWQA site,38.64196,-121.382,2005-07-22,imidacloprid,0.08,0.02,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7132492
San Joaquin,39_17,San Joaquin River near Vernalis,37.67555,-121.26547,2016-01-26,imidacloprid,0.0191,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7152390
Riverside,33_2,Santa Ana R Bl Prado Dam California_USGS NAWQA site,33.88335,-117.64533,2016-11-08,imidacloprid,0.0528,0.016,-999,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7149029
Orange,30_26,"Salt Crk, below Niguel Road bridge -(DPR urban Site ID:SC5)",33.50595,-117.7074,2016-08-07,dinotefuran,0.0091,0.0045,0.0045,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7267226
Solano,48_27,Ulatis Crk at Brown Rd,38.30713,-121.79331,2015-09-23,imidacloprid,0.0039,0.0038,0.0038,Filtered water sample,263,"USGS NWIS water column data, downloaded from the NWIS website for periods between January 1, 1990 - August 19, 2021; downloaded August, 2021.",https://waterdata.usgs.gov/nwis,USGS,U.S. Geological Survey Water Resources Discipline,7266450
